,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
64763,1050,2268,4,974964909,M,25,1,97302,"Few Good Men, A (1992)",Crime|Drama,False
637650,3749,1614,4,966134388,F,25,0,60664,In & Out (1997),Comedy,False
497256,3028,435,4,970440473,M,1,10,12701,Coneheads (1993),Comedy|Sci-Fi,False
452054,714,2080,4,975782480,M,18,4,76013,Lady and the Tramp (1955),Animation|Children's|Comedy|Musical|Romance,False
251164,2887,50,5,972174713,M,25,3,66205,"Usual Suspects, The (1995)",Crime|Thriller,False
423479,1861,2054,3,974699599,M,50,16,92129,"Honey, I Shrunk the Kids (1989)",Adventure|Children's|Comedy|Fantasy|Sci-Fi,False
145661,3982,2396,2,965624745,M,56,13,95929,Shakespeare in Love (1998),Comedy|Romance,False
423517,2092,2054,2,974680993,M,56,1,49006,"Honey, I Shrunk the Kids (1989)",Adventure|Children's|Comedy|Fantasy|Sci-Fi,False
81484,689,3108,4,975583973,F,50,0,48103,"Fisher King, The (1991)",Comedy|Drama|Romance,False
648434,1560,2613,4,998154272,F,25,3,85226,Night of the Comet (1984),Action|Horror|Sci-Fi,False
121380,4085,1265,3,965434812,F,25,6,79416,Groundhog Day (1993),Comedy|Romance,False
404594,2974,1358,5,971032909,M,18,4,48105,Sling Blade (1996),Drama|Thriller,False
39666,4607,2762,5,964197114,M,25,0,27403,"Sixth Sense, The (1999)",Thriller,False
815236,3592,1183,5,966645890,F,56,2,99701,"English Patient, The (1996)",Drama|Romance|War,False
547856,4732,2033,4,963407367,M,25,14,24450,"Black Cauldron, The (1985)",Animation|Children's,False
942239,4553,1940,3,964551353,F,35,16,48237,Gentleman's Agreement (1947),Drama,False
94737,1985,3256,5,974684480,M,45,12,92122,Patriot Games (1992),Action|Thriller,False
130980,5386,1196,5,960350387,M,25,14,60045,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
703180,4447,1717,3,965173337,M,45,5,32953,Scream 2 (1997),Horror|Thriller,False
124574,5614,1372,3,959205222,M,25,0,12833,Star Trek VI: The Undiscovered Country (1991),Action|Adventure|Sci-Fi,False
398382,5459,1777,5,959911289,F,1,10,99016,"Wedding Singer, The (1998)",Comedy|Romance,False
239506,5227,47,1,961476515,M,18,10,64050,Seven (Se7en) (1995),Crime|Thriller,False
659110,3045,1344,4,970189615,M,45,1,90631,Cape Fear (1962),Film-Noir|Thriller,False
460031,5386,329,3,960349289,M,25,14,60045,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,False
615826,3509,2605,3,967478381,M,18,4,02115,Entrapment (1999),Crime|Thriller,False
921396,3650,640,3,966460911,M,25,0,60611,Diabolique (1996),Drama|Thriller,False
40701,1599,150,4,974735720,M,25,0,92646,Apollo 13 (1995),Drama,False
672194,474,1391,3,976239259,M,25,17,92126,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War,False
376874,3469,3259,4,967230108,M,45,17,02176,Far and Away (1992),Drama|Romance,False
508898,1912,2000,1,974831380,M,25,4,91325,Lethal Weapon (1987),Action|Comedy|Crime|Drama,False
343477,5164,912,5,961903000,F,35,17,91107,Casablanca (1942),Drama|Romance|War,False
487439,5054,926,5,964472057,M,35,2,20818,All About Eve (1950),Drama,False
239258,3724,47,4,966226316,M,35,6,77083,Seven (Se7en) (1995),Crime|Thriller,False
828983,5054,2467,4,1009572693,M,35,2,20818,"Name of the Rose, The (1986)",Mystery,False
103829,3860,589,5,965860347,M,45,17,44129,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
473987,4077,1374,5,965445300,F,35,2,22030,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,False
32759,5223,1545,3,961530243,M,56,10,11361,Ponette (1996),Drama,False
128630,551,1196,3,976066233,M,35,20,55116,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
941154,2654,1542,5,973546145,F,35,9,48336,Brassed Off (1996),Comedy|Drama|Romance,False
615557,1284,2605,3,974842827,M,45,16,33334,Entrapment (1999),Crime|Thriller,False
798123,4607,1237,3,1018906985,M,25,0,27403,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,False
603123,1605,1892,3,975381507,F,18,0,28270,"Perfect Murder, A (1998)",Mystery|Thriller,False
697127,1647,3208,4,1027846885,M,18,18,98118,Loaded Weapon 1 (1993),Action|Comedy,False
85308,3151,292,5,968916009,F,25,0,92870,Outbreak (1995),Action|Drama|Thriller,False
237606,5,2058,1,978245740,M,25,20,55455,"Negotiator, The (1998)",Action|Thriller,False
662410,746,2807,1,975468880,F,18,19,95019,Universal Soldier: The Return (1999),Action|Sci-Fi,False
535987,1202,2529,4,974848334,M,35,12,97006,Planet of the Apes (1968),Action|Sci-Fi,False
424012,5026,2054,3,962584066,M,25,17,92584,"Honey, I Shrunk the Kids (1989)",Adventure|Children's|Comedy|Fantasy|Sci-Fi,False
520151,1150,1135,2,974877484,F,25,20,75226,Private Benjamin (1980),Comedy,False
784489,2060,455,3,974661406,M,1,1,48304,Free Willy (1993),Adventure|Children's|Drama,False
985724,1559,2032,3,974741807,M,35,8,10014,"Barefoot Executive, The (1971)",Children's|Comedy,False
753121,3771,2119,1,966048922,M,25,1,14982,Maximum Overdrive (1986),Horror,False
463212,4411,2091,4,970368302,M,18,4,92122,Return from Witch Mountain (1978),Children's|Sci-Fi,False
738176,1243,903,4,984616776,M,35,15,92627,Vertigo (1958),Mystery|Thriller,False
189808,5512,1079,2,959712479,F,25,17,01701,"Fish Called Wanda, A (1988)",Comedy,False
766412,3311,3,3,967959743,M,25,4,90039,Grumpier Old Men (1995),Comedy|Romance,False
295804,1448,1517,4,976211635,F,25,3,17522,Austin Powers: International Man of Mystery (1997),Comedy,False
194727,669,2167,4,975630488,M,25,17,30307,Blade (1998),Action|Adventure|Horror,False
528697,1673,2012,4,974949592,M,1,10,98043-3621,Back to the Future Part III (1990),Comedy|Sci-Fi|Western,False
132391,499,736,2,976213267,F,25,1,55108,Twister (1996),Action|Adventure|Romance|Thriller,False
602717,5394,3566,5,980666607,M,18,0,60618,"Big Kahuna, The (2000)",Comedy|Drama,False
220796,5367,1387,5,960499957,M,18,4,55344,Jaws (1975),Action|Horror,False
595132,5367,3005,1,960499635,M,18,4,55344,"Bone Collector, The (1999)",Thriller,False
193159,2895,1291,4,971990086,M,25,11,07039,Indiana Jones and the Last Crusade (1989),Action|Adventure,False
781831,1127,3584,3,974911026,M,25,0,11788,Breathless (1983),Action|Drama|Romance|Thriller,False
291876,550,3113,3,976159231,M,45,8,21559,End of Days (1999),Action|Thriller,False
849685,4339,3697,4,965232752,M,25,2,78748,Predator 2 (1990),Action|Sci-Fi|Thriller,False
855011,3163,2524,3,968882553,M,18,15,95616,"Towering Inferno, The (1974)",Action|Drama,False
741237,2077,196,4,980062444,M,18,0,55112,Species (1995),Horror|Sci-Fi,False
174925,4578,318,5,964388357,M,25,0,02134,"Shawshank Redemption, The (1994)",Drama,False
287487,4496,908,4,964998256,M,45,2,06513,North by Northwest (1959),Drama|Thriller,False
238369,5755,2058,3,958281073,F,35,2,78744,"Negotiator, The (1998)",Action|Thriller,False
821887,4222,3111,3,965315072,F,45,17,55976,Places in the Heart (1984),Drama,False
728984,2164,3917,4,974614840,M,35,0,95826,Hellraiser (1987),Horror,False
319279,1279,1171,2,974852702,M,35,1,98502,Bob Roberts (1992),Comedy,False
593739,3253,2707,1,968621915,F,35,4,26505,Arlington Road (1999),Thriller,False
470969,1761,1371,4,974703872,M,35,0,72058,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,False
348788,4233,861,3,965313204,M,35,4,37917,Supercop (1992),Action|Thriller,False
856508,134,3555,3,977460975,M,25,0,66212,U-571 (2000),Action|Thriller,False
569682,4904,2507,5,962685995,M,50,15,63121,Breakfast of Champions (1999),Comedy,False
197804,5607,1580,3,959715756,M,18,4,11209,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,False
212921,3971,2081,4,965859740,F,18,4,80228,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,False
630448,1980,247,4,974685010,M,35,7,06460,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,False
898686,5320,358,5,960863056,F,18,5,43201,Higher Learning (1995),Drama,False
177814,5969,1244,2,957795612,M,45,13,77706,Manhattan (1979),Comedy|Drama|Romance,False
23773,1262,1270,4,974819845,M,25,4,22903,Back to the Future (1985),Comedy|Sci-Fi,False
610009,1904,1702,3,974759494,M,18,1,30115,Flubber (1997),Children's|Comedy|Fantasy,False
155483,4116,165,4,965362498,M,35,7,07040,Die Hard: With a Vengeance (1995),Action|Thriller,False
756794,1465,2301,4,974764743,M,50,16,93003,History of the World: Part I (1981),Comedy,False
243129,1851,581,3,991448855,M,25,19,59602,"Celluloid Closet, The (1995)",Documentary,False
863381,1128,2460,1,974908358,M,25,1,72701,"Texas Chainsaw Massacre 2, The (1986)",Horror,False
807823,216,3462,4,976861504,M,45,13,52761,Modern Times (1936),Comedy,False
756309,4458,2144,3,965095471,F,25,4,15701-2017,Sixteen Candles (1984),Comedy,False
857617,4083,2408,2,965459113,M,56,14,92630,Cocoon: The Return (1988),Comedy|Sci-Fi,False
789088,5142,3689,3,962042608,M,25,1,92101,Porky's II: The Next Day (1983),Comedy,False
390955,3769,2699,4,966098292,M,25,15,02446,Arachnophobia (1990),Action|Comedy|Sci-Fi|Thriller,False
128847,996,1196,5,975052479,M,25,17,98102,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
913625,6002,3789,5,1014523779,M,50,0,43231,"Pawnbroker, The (1965)",Drama,False
212161,5746,1136,5,958354339,M,18,15,94061,Monty Python and the Holy Grail (1974),Comedy,False
775303,2796,1381,1,997319890,M,25,14,92104,Grease 2 (1982),Comedy|Musical|Romance,False
259173,1496,2716,5,974749962,M,25,17,94108,Ghostbusters (1984),Comedy|Horror,False
442460,2088,2140,3,974655763,M,50,7,60618,"Dark Crystal, The (1982)",Children's|Fantasy|Sci-Fi,False
606135,1418,2841,4,974762079,M,18,4,48197,Stir of Echoes (1999),Thriller,False
366685,2796,1059,3,1016196655,M,25,14,92104,William Shakespeare's Romeo and Juliet (1996),Drama|Romance,False
896962,2899,2750,4,971919235,M,35,14,94133,Radio Days (1987),Comedy|Drama,False
485655,971,3701,2,975111703,M,25,12,43615,Alien Nation (1988),Crime|Drama|Sci-Fi,False
999540,5038,219,3,962521251,M,25,20,10010,"Cure, The (1995)",Drama,False
324000,757,2406,3,975453593,M,25,12,97401,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,False
737013,3996,2808,3,965584756,M,18,14,32825,Universal Soldier (1992),Action|Sci-Fi,False
535519,4312,3254,3,966114592,M,25,18,78757,Wayne's World 2 (1993),Comedy,False
926253,148,2170,4,979579474,M,50,17,57747,Wrongfully Accused (1998),Action|Comedy,False
986613,4964,1150,5,962618887,M,35,0,94110,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Drama,False
574401,2918,3897,4,984773628,M,25,12,98112,Almost Famous (2000),Comedy|Drama,False
711413,2106,818,1,975440849,F,18,20,495321,"Very Brady Sequel, A (1996)",Comedy,False
583185,4086,60,4,965502871,F,1,10,55391,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,False
113114,4048,2312,4,965505148,F,35,1,89431,Children of a Lesser God (1986),Drama,False
157800,3970,380,3,965662348,F,25,2,02903,True Lies (1994),Action|Adventure|Comedy|Romance,False
286863,1563,908,4,974740530,F,1,10,87123,North by Northwest (1959),Drama|Thriller,False
649438,4287,2549,2,965277322,M,25,7,35244,Wing Commander (1999),Action|Sci-Fi,False
477636,4186,1377,3,1017759155,M,25,7,33308,Batman Returns (1992),Action|Adventure|Comedy|Crime,False
778779,4981,1463,4,962600797,M,50,1,55406,That Old Feeling (1997),Comedy|Romance,False
339809,3217,266,3,968779684,F,35,0,92630,Legends of the Fall (1994),Drama|Romance|War|Western,False
250125,3690,800,2,966308445,M,18,0,63116,Lone Star (1996),Drama|Mystery,False
318402,4868,32,3,966445274,M,35,17,03820,Twelve Monkeys (1995),Drama|Sci-Fi,False
713926,5443,2150,5,959982785,M,25,12,01915,"Gods Must Be Crazy, The (1980)",Comedy,False
550985,2100,203,4,974672670,F,25,0,24017,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,False
220521,4354,1387,4,965191306,M,35,14,78611,Jaws (1975),Action|Horror,False
274884,3722,968,3,966224186,M,25,18,80538,Night of the Living Dead (1968),Horror|Sci-Fi,False
664353,4517,1367,3,964864354,F,18,1,48067,101 Dalmatians (1996),Children's|Comedy,False
308430,1832,1885,4,974698348,F,18,4,14433,"Opposite of Sex, The (1998)",Comedy|Drama,False
620721,970,2568,3,975143456,M,25,0,27615,"Mod Squad, The (1999)",Action|Crime,False
428528,3253,3363,4,968623179,F,35,4,26505,American Graffiti (1973),Comedy|Drama,False
931744,1051,2499,5,974959298,F,25,0,60513,God Said 'Ha!' (1998),Comedy,False
151847,5249,235,4,961604624,F,45,14,75006,Ed Wood (1994),Comedy|Drama,False
393731,3650,223,4,970774095,M,25,0,60611,Clerks (1994),Comedy,False
129781,2967,1196,3,971126917,M,25,0,94110,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
969224,3519,352,2,988308426,F,25,14,11215,Crooklyn (1994),Comedy,False
302871,4041,3267,5,965512197,M,18,3,48005,"Mariachi, El (1992)",Action|Thriller,False
911109,3359,3816,4,967787927,M,25,20,22936,"Official Story, The (La Historia Oficial) (1985)",Drama,False
973494,4085,984,4,986186332,F,25,6,79416,"Pompatus of Love, The (1996)",Comedy|Drama,False
876243,637,2532,2,975734979,M,35,12,97132,Conquest of the Planet of the Apes (1972),Action|Sci-Fi,False
607917,343,2273,5,1006192045,F,35,3,55127,Rush Hour (1998),Action|Thriller,False
532506,48,541,4,978032226,M,25,4,92107,Blade Runner (1982),Film-Noir|Sci-Fi,False
609564,4689,1625,5,963614902,M,18,12,02215,"Game, The (1997)",Mystery|Thriller,False
559139,5550,3448,4,959472447,M,35,15,48187,"Good Morning, Vietnam (1987)",Comedy|Drama|War,False
160204,910,457,4,975209593,F,50,0,98226,"Fugitive, The (1993)",Action|Thriller,False
784395,230,455,1,976821554,M,45,1,43210,Free Willy (1993),Adventure|Children's|Drama,False
476159,2126,1376,2,974644576,M,56,14,02632,Star Trek IV: The Voyage Home (1986),Action|Adventure|Sci-Fi,False
24290,2566,1270,5,973964138,M,35,17,94022,Back to the Future (1985),Comedy|Sci-Fi,False
716933,1588,910,5,974735022,M,25,11,22043,Some Like It Hot (1959),Comedy|Crime,False
991734,4816,1384,5,965867613,F,45,6,04240,"Substance of Fire, The (1996)",Drama,False
69779,4471,2916,4,973203059,M,25,6,94108,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,False
757386,3754,2245,4,966119700,M,56,7,94612,Working Girl (1988),Comedy|Drama,False
332347,4718,3524,4,963432278,M,35,7,03885,Arthur (1981),Comedy|Romance,False
698120,1370,879,2,974796241,M,35,2,92821,"Relic, The (1997)",Horror,False
743217,4728,1958,4,963353810,M,25,19,31401,Terms of Endearment (1983),Comedy|Drama,False
41366,4832,150,4,962899635,M,25,14,17857,Apollo 13 (1995),Drama,False
575234,4253,1303,3,965678363,M,45,11,03301,"Man Who Would Be King, The (1975)",Adventure,False
567853,3591,3146,1,970447100,M,35,6,96158,Deuce Bigalow: Male Gigolo (1999),Comedy,False
834795,3319,3365,5,967918694,F,56,13,92308,"Searchers, The (1956)",Western,False
323591,5261,36,3,961197867,M,35,12,10025,Dead Man Walking (1995),Drama,False
984310,4083,2151,1,965437764,M,56,14,92630,"Gods Must Be Crazy II, The (1989)",Comedy,False
805887,424,1922,4,1034874511,M,25,17,55112,Whatever (1998),Drama,False
891083,2546,950,4,974040642,F,56,13,37931,"Thin Man, The (1934)",Mystery,False
627311,1410,3932,5,974764053,M,50,7,94404,"Invisible Man, The (1933)",Horror|Sci-Fi,False
538879,654,1220,5,975701311,M,50,7,75023,"Blues Brothers, The (1980)",Action|Comedy|Musical,False
611342,3031,70,3,970429602,M,18,4,48135,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,False
331406,5555,597,4,959635665,M,1,10,37830,Pretty Woman (1990),Comedy|Romance,False
228985,594,39,5,975900593,F,56,13,60076,Clueless (1995),Comedy|Romance,False
635790,1077,2912,5,975986347,M,25,3,60660,"Limey, The (1999)",Action|Crime|Drama,False
405144,5666,1358,5,958758446,M,18,16,11209,Sling Blade (1996),Drama|Thriller,False
747882,4389,45,3,965164875,M,25,4,48072,To Die For (1995),Comedy|Drama,False
48771,4101,260,2,965412901,M,18,4,23233,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,False
895622,4837,259,3,962890339,M,25,5,46254,Kiss of Death (1995),Crime|Drama|Thriller,False
595039,4378,3005,4,965175601,M,18,17,06040,"Bone Collector, The (1999)",Thriller,False
687501,3129,1321,4,969366014,M,25,7,21117,"American Werewolf in London, An (1981)",Horror,False
313753,796,1747,3,976289064,M,50,6,98237,Wag the Dog (1997),Comedy|Drama,False
694708,4488,2160,3,965013883,M,35,7,72703,Rosemary's Baby (1968),Horror|Thriller,False
192944,2025,1291,5,974673203,M,56,13,03440,Indiana Jones and the Last Crusade (1989),Action|Adventure,False
524982,2063,3175,4,974660789,M,25,4,43138,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,False
985333,2967,444,2,971149884,M,25,0,94110,Even Cowgirls Get the Blues (1993),Comedy|Romance,False
675874,2565,1562,3,973965824,M,35,5,34786,Batman & Robin (1997),Action|Adventure|Crime,False
350942,5112,1573,3,962327912,M,35,13,89128,Face/Off (1997),Action|Sci-Fi|Thriller,False
831902,4227,837,1,965409993,M,25,19,11414-2520,Matilda (1996),Children's|Comedy,False
902737,1709,2112,4,974705763,M,25,0,73147,Grand Canyon (1991),Crime|Drama,False
149987,3018,1954,4,970590266,M,35,0,45242,Rocky (1976),Action|Drama,False
151739,4543,235,5,965109773,M,25,2,11105,Ed Wood (1994),Comedy|Drama,False
716759,193,910,3,977019641,F,45,15,44106,Some Like It Hot (1959),Comedy|Crime,False
89195,4948,1259,3,962650593,M,45,2,94618,Stand by Me (1986),Adventure|Comedy|Drama,False
855671,2743,2546,3,973222255,M,25,14,72601,"Deep End of the Ocean, The (1999)",Drama,False
655392,3163,2139,5,968867718,M,18,15,95616,"Secret of NIMH, The (1982)",Animation|Children's,False
795789,1117,930,5,975691529,M,18,14,10017,Notorious (1946),Film-Noir|Romance|Thriller,False
910785,4253,3811,3,965307487,M,45,11,03301,Breaker Morant (1980),Drama|War,False
902821,3300,2112,4,968205712,M,35,5,19119,Grand Canyon (1991),Crime|Drama,False
931146,1150,3783,3,975193637,F,25,20,75226,Croupier (1998),Crime|Drama,False
691536,613,2064,4,975811351,M,35,20,10562,Roger & Me (1989),Comedy|Documentary,False
540788,4715,1080,4,963528439,M,25,2,97205,Monty Python's Life of Brian (1979),Comedy,False
